"condition","group","question","value","trial_index","ID","FastorSlow","measure"
"immoral",1,"Justin_Q1",6,1,"1","f","quickness"
"immoral",1,"Justin_Q2",3,2,"1","f","character"
"immoral",1,"Justin_Q3",3,3,"1","f","character"
"immoral",1,"Justin_Q4",3,4,"1","f","character"
"immoral",1,"Justin_Q5",NA,5,"1","f","certainty"
"immoral",1,"Justin_Q6",6,6,"1","f","certainty"
"immoral",1,"Justin_Q7",6,7,"1","f","certainty"
"immoral",1,"Justin_Q8",NA,8,"1","f","certainty"
"immoral",1,"Justin_Q9",6,9,"1","f","impulsivity"
"immoral",1,"Justin_Q10",NA,10,"1","f","impulsivity"
"immoral",1,"Nate_Q1",NA,11,"1","s","quickness"
"immoral",1,"Nate_Q2",4,12,"1","s","character"
"immoral",1,"Nate_Q3",4,13,"1","s","character"
"immoral",1,"Nate_Q4",4,14,"1","s","character"
"immoral",1,"Nate_Q5",6,15,"1","s","certainty"
"immoral",1,"Nate_Q6",NA,16,"1","s","certainty"
"immoral",1,"Nate_Q7",NA,17,"1","s","certainty"
"immoral",1,"Nate_Q8",6,18,"1","s","certainty"
"immoral",1,"Nate_Q9",3,19,"1","s","impulsivity"
"immoral",1,"Nate_Q10",NA,20,"1","s","impulsivity"
"moral",1,"Justin_Q1",5,1,"2","f","quickness"
"moral",1,"Justin_Q2",5,2,"2","f","character"
"moral",1,"Justin_Q3",5,3,"2","f","character"
"moral",1,"Justin_Q4",6,4,"2","f","character"
"moral",1,"Justin_Q5",NA,5,"2","f","certainty"
"moral",1,"Justin_Q6",6,6,"2","f","certainty"
"moral",1,"Justin_Q7",6,7,"2","f","certainty"
"moral",1,"Justin_Q8",NA,8,"2","f","certainty"
"moral",1,"Justin_Q9",6,9,"2","f","impulsivity"
"moral",1,"Justin_Q10",1,10,"2","f","impulsivity"
"moral",1,"Nate_Q1",NA,11,"2","s","quickness"
"moral",1,"Nate_Q2",3,12,"2","s","character"
"moral",1,"Nate_Q3",3,13,"2","s","character"
"moral",1,"Nate_Q4",3,14,"2","s","character"
"moral",1,"Nate_Q5",5,15,"2","s","certainty"
"moral",1,"Nate_Q6",1,16,"2","s","certainty"
"moral",1,"Nate_Q7",4,17,"2","s","certainty"
"moral",1,"Nate_Q8",4,18,"2","s","certainty"
"moral",1,"Nate_Q9",3,19,"2","s","impulsivity"
"moral",1,"Nate_Q10",3,20,"2","s","impulsivity"
"moral",1,"Justin_Q1",6,1,"3","f","quickness"
"moral",1,"Justin_Q2",6,2,"3","f","character"
"moral",1,"Justin_Q3",6,3,"3","f","character"
"moral",1,"Justin_Q4",6,4,"3","f","character"
"moral",1,"Justin_Q5",NA,5,"3","f","certainty"
"moral",1,"Justin_Q6",6,6,"3","f","certainty"
"moral",1,"Justin_Q7",6,7,"3","f","certainty"
"moral",1,"Justin_Q8",NA,8,"3","f","certainty"
"moral",1,"Justin_Q9",6,9,"3","f","impulsivity"
"moral",1,"Justin_Q10",NA,10,"3","f","impulsivity"
"moral",1,"Nate_Q1",1,11,"3","s","quickness"
"moral",1,"Nate_Q2",4,12,"3","s","character"
"moral",1,"Nate_Q3",4,13,"3","s","character"
"moral",1,"Nate_Q4",6,14,"3","s","character"
"moral",1,"Nate_Q5",6,15,"3","s","certainty"
"moral",1,"Nate_Q6",NA,16,"3","s","certainty"
"moral",1,"Nate_Q7",1,17,"3","s","certainty"
"moral",1,"Nate_Q8",5,18,"3","s","certainty"
"moral",1,"Nate_Q9",3,19,"3","s","impulsivity"
"moral",1,"Nate_Q10",1,20,"3","s","impulsivity"
"moral",1,"Justin_Q1",6,1,"4","f","quickness"
"moral",1,"Justin_Q2",5,2,"4","f","character"
"moral",1,"Justin_Q3",5,3,"4","f","character"
"moral",1,"Justin_Q4",4,4,"4","f","character"
"moral",1,"Justin_Q5",NA,5,"4","f","certainty"
"moral",1,"Justin_Q6",6,6,"4","f","certainty"
"moral",1,"Justin_Q7",5,7,"4","f","certainty"
"moral",1,"Justin_Q8",NA,8,"4","f","certainty"
"moral",1,"Justin_Q9",6,9,"4","f","impulsivity"
"moral",1,"Justin_Q10",NA,10,"4","f","impulsivity"
"moral",1,"Nate_Q1",NA,11,"4","s","quickness"
"moral",1,"Nate_Q2",4,12,"4","s","character"
"moral",1,"Nate_Q3",4,13,"4","s","character"
"moral",1,"Nate_Q4",5,14,"4","s","character"
"moral",1,"Nate_Q5",6,15,"4","s","certainty"
"moral",1,"Nate_Q6",1,16,"4","s","certainty"
"moral",1,"Nate_Q7",NA,17,"4","s","certainty"
"moral",1,"Nate_Q8",5,18,"4","s","certainty"
"moral",1,"Nate_Q9",2,19,"4","s","impulsivity"
"moral",1,"Nate_Q10",NA,20,"4","s","impulsivity"
"moral",1,"Justin_Q1",6,1,"5","f","quickness"
"moral",1,"Justin_Q2",6,2,"5","f","character"
"moral",1,"Justin_Q3",6,3,"5","f","character"
"moral",1,"Justin_Q4",6,4,"5","f","character"
"moral",1,"Justin_Q5",NA,5,"5","f","certainty"
"moral",1,"Justin_Q6",6,6,"5","f","certainty"
"moral",1,"Justin_Q7",6,7,"5","f","certainty"
"moral",1,"Justin_Q8",NA,8,"5","f","certainty"
"moral",1,"Justin_Q9",6,9,"5","f","impulsivity"
"moral",1,"Justin_Q10",NA,10,"5","f","impulsivity"
"moral",1,"Nate_Q1",NA,11,"5","s","quickness"
"moral",1,"Nate_Q2",3,12,"5","s","character"
"moral",1,"Nate_Q3",4,13,"5","s","character"
"moral",1,"Nate_Q4",4,14,"5","s","character"
"moral",1,"Nate_Q5",3,15,"5","s","certainty"
"moral",1,"Nate_Q6",3,16,"5","s","certainty"
"moral",1,"Nate_Q7",3,17,"5","s","certainty"
"moral",1,"Nate_Q8",3,18,"5","s","certainty"
"moral",1,"Nate_Q9",4,19,"5","s","impulsivity"
"moral",1,"Nate_Q10",2,20,"5","s","impulsivity"
"immoral",1,"Justin_Q1",3,1,"6","f","quickness"
"immoral",1,"Justin_Q2",3,2,"6","f","character"
"immoral",1,"Justin_Q3",3,3,"6","f","character"
"immoral",1,"Justin_Q4",3,4,"6","f","character"
"immoral",1,"Justin_Q5",3,5,"6","f","certainty"
"immoral",1,"Justin_Q6",3,6,"6","f","certainty"
"immoral",1,"Justin_Q7",3,7,"6","f","certainty"
"immoral",1,"Justin_Q8",3,8,"6","f","certainty"
"immoral",1,"Justin_Q9",3,9,"6","f","impulsivity"
"immoral",1,"Justin_Q10",3,10,"6","f","impulsivity"
"immoral",1,"Nate_Q1",3,11,"6","s","quickness"
"immoral",1,"Nate_Q2",3,12,"6","s","character"
"immoral",1,"Nate_Q3",3,13,"6","s","character"
"immoral",1,"Nate_Q4",3,14,"6","s","character"
"immoral",1,"Nate_Q5",2,15,"6","s","certainty"
"immoral",1,"Nate_Q6",2,16,"6","s","certainty"
"immoral",1,"Nate_Q7",2,17,"6","s","certainty"
"immoral",1,"Nate_Q8",4,18,"6","s","certainty"
"immoral",1,"Nate_Q9",1,19,"6","s","impulsivity"
"immoral",1,"Nate_Q10",3,20,"6","s","impulsivity"
"immoral",1,"Justin_Q1",6,1,"7","f","quickness"
"immoral",1,"Justin_Q2",3,2,"7","f","character"
"immoral",1,"Justin_Q3",3,3,"7","f","character"
"immoral",1,"Justin_Q4",3,4,"7","f","character"
"immoral",1,"Justin_Q5",NA,5,"7","f","certainty"
"immoral",1,"Justin_Q6",6,6,"7","f","certainty"
"immoral",1,"Justin_Q7",6,7,"7","f","certainty"
"immoral",1,"Justin_Q8",NA,8,"7","f","certainty"
"immoral",1,"Justin_Q9",5,9,"7","f","impulsivity"
"immoral",1,"Justin_Q10",1,10,"7","f","impulsivity"
"immoral",1,"Nate_Q1",NA,11,"7","s","quickness"
"immoral",1,"Nate_Q2",3,12,"7","s","character"
"immoral",1,"Nate_Q3",3,13,"7","s","character"
"immoral",1,"Nate_Q4",3,14,"7","s","character"
"immoral",1,"Nate_Q5",5,15,"7","s","certainty"
"immoral",1,"Nate_Q6",3,16,"7","s","certainty"
"immoral",1,"Nate_Q7",1,17,"7","s","certainty"
"immoral",1,"Nate_Q8",5,18,"7","s","certainty"
"immoral",1,"Nate_Q9",3,19,"7","s","impulsivity"
"immoral",1,"Nate_Q10",NA,20,"7","s","impulsivity"
"immoral",1,"Justin_Q1",6,1,"8","f","quickness"
"immoral",1,"Justin_Q2",1,2,"8","f","character"
"immoral",1,"Justin_Q3",1,3,"8","f","character"
"immoral",1,"Justin_Q4",4,4,"8","f","character"
"immoral",1,"Justin_Q5",NA,5,"8","f","certainty"
"immoral",1,"Justin_Q6",6,6,"8","f","certainty"
"immoral",1,"Justin_Q7",6,7,"8","f","certainty"
"immoral",1,"Justin_Q8",NA,8,"8","f","certainty"
"immoral",1,"Justin_Q9",6,9,"8","f","impulsivity"
"immoral",1,"Justin_Q10",NA,10,"8","f","impulsivity"
"immoral",1,"Nate_Q1",2,11,"8","s","quickness"
"immoral",1,"Nate_Q2",3,12,"8","s","character"
"immoral",1,"Nate_Q3",3,13,"8","s","character"
"immoral",1,"Nate_Q4",5,14,"8","s","character"
"immoral",1,"Nate_Q5",6,15,"8","s","certainty"
"immoral",1,"Nate_Q6",3,16,"8","s","certainty"
"immoral",1,"Nate_Q7",2,17,"8","s","certainty"
"immoral",1,"Nate_Q8",5,18,"8","s","certainty"
"immoral",1,"Nate_Q9",2,19,"8","s","impulsivity"
"immoral",1,"Nate_Q10",NA,20,"8","s","impulsivity"
"moral",1,"Justin_Q1",6,1,"9","f","quickness"
"moral",1,"Justin_Q2",6,2,"9","f","character"
"moral",1,"Justin_Q3",6,3,"9","f","character"
"moral",1,"Justin_Q4",6,4,"9","f","character"
"moral",1,"Justin_Q5",NA,5,"9","f","certainty"
"moral",1,"Justin_Q6",6,6,"9","f","certainty"
"moral",1,"Justin_Q7",6,7,"9","f","certainty"
"moral",1,"Justin_Q8",NA,8,"9","f","certainty"
"moral",1,"Justin_Q9",6,9,"9","f","impulsivity"
"moral",1,"Justin_Q10",NA,10,"9","f","impulsivity"
"moral",1,"Nate_Q1",NA,11,"9","s","quickness"
"moral",1,"Nate_Q2",3,12,"9","s","character"
"moral",1,"Nate_Q3",3,13,"9","s","character"
"moral",1,"Nate_Q4",5,14,"9","s","character"
"moral",1,"Nate_Q5",5,15,"9","s","certainty"
"moral",1,"Nate_Q6",2,16,"9","s","certainty"
"moral",1,"Nate_Q7",2,17,"9","s","certainty"
"moral",1,"Nate_Q8",3,18,"9","s","certainty"
"moral",1,"Nate_Q9",2,19,"9","s","impulsivity"
"moral",1,"Nate_Q10",2,20,"9","s","impulsivity"
"immoral",1,"Justin_Q1",6,1,"10","f","quickness"
"immoral",1,"Justin_Q2",1,2,"10","f","character"
"immoral",1,"Justin_Q3",1,3,"10","f","character"
"immoral",1,"Justin_Q4",2,4,"10","f","character"
"immoral",1,"Justin_Q5",NA,5,"10","f","certainty"
"immoral",1,"Justin_Q6",4,6,"10","f","certainty"
