"ID","trial_index","response","time_elapsed","condition","FastorSlow","measure","response_reverse"
"029zau5qej",4,"6",57580,"immoral","f","quickness","6"
"029zau5qej",5,"3",76843,"immoral","f","character","3"
"029zau5qej",6,"3",83716,"immoral","f","character","3"
"029zau5qej",7,"3",89425,"immoral","f","character","3"
"029zau5qej",8,NA,NA,"immoral",NA,NA,NA
"029zau5qej",9,"6",117446,"immoral","f","certainty","2"
"029zau5qej",10,"6",120439,"immoral","f","certainty","2"
"029zau5qej",11,NA,NA,"immoral",NA,NA,NA
"029zau5qej",12,"6",132409,"immoral","f","impulsivity","6"
"029zau5qej",13,NA,NA,"immoral",NA,NA,NA
"029zau5qej",14,NA,NA,"immoral",NA,NA,NA
"029zau5qej",15,"4",151360,"immoral","s","character","4"
"029zau5qej",16,"4",155220,"immoral","s","character","4"
"029zau5qej",17,"4",161092,"immoral","s","character","4"
"029zau5qej",18,"6",163901,"immoral","s","certainty","6"
"029zau5qej",19,NA,NA,"immoral",NA,NA,NA
"029zau5qej",20,NA,NA,"immoral",NA,NA,NA
"029zau5qej",21,"6",181855,"immoral","s","certainty","6"
"029zau5qej",22,"3",185558,"immoral","s","impulsivity","3"
"029zau5qej",23,NA,NA,"immoral",NA,NA,NA
"029zau5qej",24,"""Justin""",195137,"immoral","attention","attention","""Justin"""
"029zau5qej",25,"""""",199431,"immoral","feedback","feedback",""""""
"071as2esxu",4,"5",129615,"moral","f","quickness","5"
"071as2esxu",5,"5",183411,"moral","f","character","5"
"071as2esxu",6,"5",199219,"moral","f","character","5"
"071as2esxu",7,"6",246521,"moral","f","character","6"
"071as2esxu",8,NA,NA,"moral",NA,NA,NA
"071as2esxu",9,"6",279755,"moral","f","certainty","2"
"071as2esxu",10,"6",290749,"moral","f","certainty","2"
"071as2esxu",11,NA,NA,"moral",NA,NA,NA
"071as2esxu",12,"6",341199,"moral","f","impulsivity","6"
"071as2esxu",13,"1",370663,"moral","f","impulsivity","7"
"071as2esxu",14,NA,NA,"moral",NA,NA,NA
"071as2esxu",15,"3",420914,"moral","s","character","3"
"071as2esxu",16,"3",430355,"moral","s","character","3"
"071as2esxu",17,"3",439981,"moral","s","character","3"
"071as2esxu",18,"5",516388,"moral","s","certainty","5"
"071as2esxu",19,"1",538731,"moral","s","certainty","7"
"071as2esxu",20,"4",546908,"moral","s","certainty","4"
"071as2esxu",21,"4",580623,"moral","s","certainty","4"
"071as2esxu",22,"3",589072,"moral","s","impulsivity","3"
"071as2esxu",23,"3",596011,"moral","s","impulsivity","5"
"071as2esxu",24,"""Justin""",612110,"moral","attention","attention","""Justin"""
"071as2esxu",25,"""""",619635,"moral","feedback","feedback",""""""
"07evqdfxme",4,"6",24347,"moral","f","quickness","6"
"07evqdfxme",5,"6",73207,"moral","f","character","6"
"07evqdfxme",6,"6",78334,"moral","f","character","6"
"07evqdfxme",7,"6",81405,"moral","f","character","6"
"07evqdfxme",8,NA,NA,"moral",NA,NA,NA
"07evqdfxme",9,"6",92687,"moral","f","certainty","2"
"07evqdfxme",10,"6",101961,"moral","f","certainty","2"
"07evqdfxme",11,NA,NA,"moral",NA,NA,NA
"07evqdfxme",12,"6",111026,"moral","f","impulsivity","6"
"07evqdfxme",13,NA,NA,"moral",NA,NA,NA
"07evqdfxme",14,"1",131332,"moral","s","quickness","1"
"07evqdfxme",15,"4",137101,"moral","s","character","4"
"07evqdfxme",16,"4",141976,"moral","s","character","4"
"07evqdfxme",17,"6",146967,"moral","s","character","6"
"07evqdfxme",18,"6",155005,"moral","s","certainty","6"
"07evqdfxme",19,NA,NA,"moral",NA,NA,NA
"07evqdfxme",20,"1",163278,"moral","s","certainty","7"
"07evqdfxme",21,"5",167939,"moral","s","certainty","5"
"07evqdfxme",22,"3",173212,"moral","s","impulsivity","3"
"07evqdfxme",23,"1",179070,"moral","s","impulsivity","7"
"07evqdfxme",24,"""Nate""",225681,"moral","attention","attention","""Nate"""
"07evqdfxme",25,"""""",227070,"moral","feedback","feedback",""""""
"0j9sc2efn0",4,"6",101030,"moral","f","quickness","6"
"0j9sc2efn0",5,"5",111198,"moral","f","character","5"
"0j9sc2efn0",6,"5",123068,"moral","f","character","5"
"0j9sc2efn0",7,"4",132224,"moral","f","character","4"
"0j9sc2efn0",8,NA,NA,"moral",NA,NA,NA
"0j9sc2efn0",9,"6",145870,"moral","f","certainty","2"
"0j9sc2efn0",10,"5",151509,"moral","f","certainty","3"
"0j9sc2efn0",11,NA,NA,"moral",NA,NA,NA
"0j9sc2efn0",12,"6",164128,"moral","f","impulsivity","6"
"0j9sc2efn0",13,NA,NA,"moral",NA,NA,NA
"0j9sc2efn0",14,NA,NA,"moral",NA,NA,NA
"0j9sc2efn0",15,"4",189948,"moral","s","character","4"
"0j9sc2efn0",16,"4",195005,"moral","s","character","4"
"0j9sc2efn0",17,"5",201122,"moral","s","character","5"
"0j9sc2efn0",18,"6",206939,"moral","s","certainty","6"
"0j9sc2efn0",19,"1",218117,"moral","s","certainty","7"
"0j9sc2efn0",20,NA,NA,"moral",NA,NA,NA
"0j9sc2efn0",21,"5",228907,"moral","s","certainty","5"
"0j9sc2efn0",22,"2",234099,"moral","s","impulsivity","2"
"0j9sc2efn0",23,NA,NA,"moral",NA,NA,NA
"0j9sc2efn0",24,"""Nate""",245234,"moral","attention","attention","""Nate"""
"0j9sc2efn0",25,"""""",248998,"moral","feedback","feedback",""""""
"0m2nksdw06",4,"6",74714,"moral","f","quickness","6"
"0m2nksdw06",5,"6",85289,"moral","f","character","6"
"0m2nksdw06",6,"6",89867,"moral","f","character","6"
"0m2nksdw06",7,"6",101210,"moral","f","character","6"
"0m2nksdw06",8,NA,NA,"moral",NA,NA,NA
"0m2nksdw06",9,"6",116212,"moral","f","certainty","2"
"0m2nksdw06",10,"6",120115,"moral","f","certainty","2"
"0m2nksdw06",11,NA,NA,"moral",NA,NA,NA
"0m2nksdw06",12,"6",130303,"moral","f","impulsivity","6"
"0m2nksdw06",13,NA,NA,"moral",NA,NA,NA
"0m2nksdw06",14,NA,NA,"moral",NA,NA,NA
"0m2nksdw06",15,"3",149967,"moral","s","character","3"
"0m2nksdw06",16,"4",156371,"moral","s","character","4"
"0m2nksdw06",17,"4",163919,"moral","s","character","4"
"0m2nksdw06",18,"3",170914,"moral","s","certainty","3"
"0m2nksdw06",19,"3",178192,"moral","s","certainty","5"
"0m2nksdw06",20,"3",180892,"moral","s","certainty","5"
"0m2nksdw06",21,"3",186174,"moral","s","certainty","3"
"0m2nksdw06",22,"4",192932,"moral","s","impulsivity","4"
"0m2nksdw06",23,"2",196321,"moral","s","impulsivity","6"
"0m2nksdw06",24,"""Justin""",205490,"moral","attention","attention","""Justin"""
"0m2nksdw06",25,"""""",208011,"moral","feedback","feedback",""""""
"0vdxhpmhf9",4,"3",54032,"immoral","f","quickness","3"
"0vdxhpmhf9",5,"3",60095,"immoral","f","character","3"
"0vdxhpmhf9",6,"3",65599,"immoral","f","character","3"
"0vdxhpmhf9",7,"3",68466,"immoral","f","character","3"
"0vdxhpmhf9",8,"3",75514,"immoral","f","certainty","3"
"0vdxhpmhf9",9,"3",78821,"immoral","f","certainty","5"
"0vdxhpmhf9",10,"3",82069,"immoral","f","certainty","5"
"0vdxhpmhf9",11,"3",93497,"immoral","f","certainty","3"
"0vdxhpmhf9",12,"3",101055,"immoral","f","impulsivity","3"
"0vdxhpmhf9",13,"3",108112,"immoral","f","impulsivity","5"
"0vdxhpmhf9",14,"3",113084,"immoral","s","quickness","3"
"0vdxhpmhf9",15,"3",115480,"immoral","s","character","3"
"0vdxhpmhf9",16,"3",117535,"immoral","s","character","3"
"0vdxhpmhf9",17,"3",119710,"immoral","s","character","3"
"0vdxhpmhf9",18,"2",124762,"immoral","s","certainty","2"
"0vdxhpmhf9",19,"2",129704,"immoral","s","certainty","6"
"0vdxhpmhf9",20,"2",133743,"immoral","s","certainty","6"
"0vdxhpmhf9",21,"4",136129,"immoral","s","certainty","4"
"0vdxhpmhf9",22,"1",138835,"immoral","s","impulsivity","1"
"0vdxhpmhf9",23,"3",141812,"immoral","s","impulsivity","5"
"0vdxhpmhf9",24,"""justin""",162586,"immoral","attention","attention","""justin"""
"0vdxhpmhf9",25,"""pocketing was much""",193904,"immoral","feedback","feedback","""pocketing was much"""
"28c1tcuucd",4,"6",58237,"immoral","f","quickness","6"
"28c1tcuucd",5,"3",67079,"immoral","f","character","3"
"28c1tcuucd",6,"3",71575,"immoral","f","character","3"
"28c1tcuucd",7,"3",76421,"immoral","f","character","3"
"28c1tcuucd",8,NA,NA,"immoral",NA,NA,NA
"28c1tcuucd",9,"6",86790,"immoral","f","certainty","2"
"28c1tcuucd",10,"6",90651,"immoral","f","certainty","2"
"28c1tcuucd",11,NA,NA,"immoral",NA,NA,NA
"28c1tcuucd",12,"5",103777,"immoral","f","impulsivity","5"
"28c1tcuucd",13,"1",108444,"immoral","f","impulsivity","7"
"28c1tcuucd",14,NA,NA,"immoral",NA,NA,NA
"28c1tcuucd",15,"3",123644,"immoral","s","character","3"
"28c1tcuucd",16,"3",125931,"immoral","s","character","3"
"28c1tcuucd",17,"3",127955,"immoral","s","character","3"
